title,listing_types,category,state,city,neighborhood,landmarks,price,currency,deposit,hoa_fee,bedrooms,bathrooms,parking_spots,built_area_m2,land_area_m2,amenities,pet_friendly,furnished,short_description,status
"Apartamento moderno en Torres del Valle",rent,apartment,San José,Escazú,San Rafael,"A 5 min de Avenida Escazú, cerca de Multiplaza",1500,USD,1500,250,2,2,1,95,,pool;gym;security_24_7;elevator;rooftop_terrace;coworking,true,true,"Apartamento amueblado en piso 8 con vista panorámica al Valle Central. Cocina abierta con electrodomésticos de acero inoxidable, pisos de porcelanato, y balcón amplio. Incluye bodega. Condominio con lobby 24/7, piscina climatizada, y gimnasio equipado.",active
"Penthouse con terraza privada — Escazú",sale,apartment,San José,Escazú,San Rafael,"Frente a Avenida Escazú",425000,USD,,,3,3,2,180,,pool;gym;security_24_7;elevator;rooftop_terrace;jacuzzi_spa;valley_view,true,false,"Penthouse de lujo en último piso con terraza privada de 45m². 3 habitaciones con baño propio, walk-in closet en master. Vista 360° al valle. 2 parqueos techados + bodega. Acabados premium: cuarzo, madera natural, iluminación LED empotrada.",active
"Casa familiar en Residencial Vista Verde",sale,house,San José,Santa Ana,Pozos,"Cerca de Forum I, a 10 min del centro de Santa Ana",385000,USD,,,4,3,2,220,350,pool;gardens;security_24_7;gated_access;bbq_area;green_areas;visitor_parking,true,false,"Casa de 2 plantas en condominio cerrado. 4 habitaciones (master con walk-in closet y baño doble), sala-comedor amplio, cocina con isla, cuarto de servicio, jardín privado con zona BBQ. Calle sin salida, ideal para niños. Comunidad con piscina y áreas verdes.",active
"Apartamento amueblado — Sabana Norte",rent,apartment,San José,San José,Mata Redonda,"A 200m del Parque La Sabana, cerca de Scotiabank",1200,USD,1200,180,2,1,1,75,,gym;security_24_7;elevator;visitor_parking,false,true,"Apartamento completamente amueblado con vista al Parque La Sabana. Ideal para ejecutivos o parejas. Incluye internet, cable, agua caliente. A pasos de restaurantes, supermercados, y transporte público. Edificio con seguridad 24/7 y parqueo techado.",active
"Casa de playa en Tamarindo",sale,house,Guanacaste,Santa Cruz,Tamarindo,"A 5 min caminando de Playa Tamarindo",550000,USD,,,3,2,2,160,400,pool;ocean_view;gardens;bbq_area;gated_access;beach_access,true,false,"Casa tropical a minutos de la playa. 3 habitaciones con A/C, piscina privada con deck de madera, rancho BBQ, y jardín tropical. Ideal como residencia o inversión para alquiler vacacional. Zona de alta plusvalía con demanda turística todo el año.",active
"Lote en Ciudad Colón con vista",sale,land,San José,Mora,Ciudad Colón,"Sobre calle principal, a 15 min de Santa Ana",95000,USD,,,,,,,800,green_areas;valley_view,false,false,"Lote de 800m² con topografía plana y vista al valle. Servicios disponibles (agua, luz, internet). Uso residencial. Zona tranquila rodeada de naturaleza pero a solo 15 minutos de Santa Ana. Ideal para construir la casa de sus sueños.",active
"Local comercial en Heredia centro",rent,commercial,Heredia,Heredia,Heredia Centro,"Frente a calle principal, a 200m del Palacio de los Deportes",2500,USD,5000,,,,3,120,80,security_cameras;visitor_parking,false,false,"Local comercial de 120m² en planta baja con vitrina a calle principal. Alto tráfico peatonal y vehicular. Cielo raso, piso cerámico, 2 baños, bodega interna. 3 parqueos frente al local. Ideal para tienda, clínica, oficina, o restaurante. Disponibilidad inmediata.",active
"Apartamento cerca del TEC — Cartago",rent,apartment,Cartago,Cartago,Oriental,"A 5 min del TEC, cerca de Paseo Metrópoli",650,USD,650,100,1,1,1,55,,security_24_7;elevator,false,true,"Apartamento de 1 habitación amueblado, ideal para estudiantes o profesionales jóvenes. Cerca del TEC y Paseo Metrópoli. Incluye cocina equipada, internet, y agua caliente. Edificio con seguridad y parqueo. El precio más competitivo de la zona.",active
"Casa en condominio — Heredia",sale,house,Heredia,Heredia,San Pablo,"Cerca de ULACIT y Oxígeno",275000,USD,,,3,2.5,2,165,200,pool;gym;security_24_7;gated_access;playground;green_areas;gardens,true,false,"Casa de 3 habitaciones en condominio cerrado con excelentes amenidades. Master con walking closet, sala de TV independiente, patio trasero privado. A minutos de universidades, centros comerciales, y autopista General Cañas. Comunidad familiar y segura.",active
"Apartamento de inversión — Rohrmoser",sale,apartment,San José,San José,Rohrmoser,"Cerca de embajadas, a 10 min de La Sabana",165000,USD,,,2,1,1,72,,security_24_7;elevator;visitor_parking,false,false,"Excelente oportunidad de inversión. Apartamento de 2 habitaciones en zona consolidada cerca de embajadas y centros corporativos. Actualmente alquilado a $900/mes. Retorno estimado de 6.5% anual. Edificio bien mantenido con buena administración.",active
